0,"thus, i now propose that we look to science to solve the question of abortion.",1989-1990,abortion
1,"so trust me, i’ll not talk of a new utopia, just abortion.",1989-1990,abortion
2,now the answer to abortion is easy.,1989-1990,abortion
3,should a woman have an abortion?,1989-1990,abortion
4,"first,  no longer does the question of abortion plague us.",1989-1990,abortion
5,"abortion clinics across america have been fascinated, if not frustrated, by its deceptive tactics for rs.",1989-1990,abortion
6,"in the united states alone, legal abortions have claimed more lives than adolf hitler, joseph  stalin, the rest of world war it, all of world war i, and the war before that one, and so on, and so on, etc.",1989-1990,abortion
7,"pro-choice: protecting women’s rights  my view  by elizabeth parkins and pamela patton  “i think contraception is disgusting — people using each other for pleasure.” — joseph schneider, director, pro-life action league  i. cameron humphries’ extremely murky “my view,” with its limited comprehension of medical fact (classifying the fetus as an organ, and falsely clairriing that it struggles against abortion), its suspension of reality(mankind conquering death and achieving immortality) and its highly sophomoric tone, have no  place in an intelligent discussion of the abortion issue.",1989-1990,abortion
8,"furthermore, by comparing a woman’s right to abortion to hitler’s “final solution,”humphries is confusing a woman’s freedom to voluntarily choose an abortion with a totalitarian state’s forced genocide.",1989-1990,abortion
9,"we must assume so, since he does assert that the fetus struggles for life against an abortion.",1989-1990,abortion
10,"the new york times answered the film\'s charges way back in march of 1985 by featuring five medical experts who discounted the theory that a l2—week—old fetus(91 percent of all abortions are performed within the first trimester) has sufficient nervous system development for any degree of consciousness, much less the ability to sense danger and react to it.",1989-1990,abortion
11,we strongly support mr. humphries’ right to his anti-abortion stand.,1989-1990,abortion
12,"we urge him to help pregnant women who chose not to terminate their pregnancies by supporting pre-natal care for those who cannot afford it, adoption agencies,  foster care systetns, day care services and other vital sociali programs  but if his zeal would lead him to block the doors of medical clinics or endorses legislation barring abortions, his opinions would come into conﬂict with our rights.",1989-1990,abortion
13,"but, if abortion is made illegal, and women are forced into unsafe, “back-alley” clinics, or are forced by the state to bear unwanted children, we will find that, to once more quote humphries, “millions of souls are crying for justice, if we don’t answer them, who will?""",1989-1990,abortion
14,many voters believe that this election hinged on each candidate’s abortion stance.,1989-1990,abortion
15,"“the five votes that counted the most in this election were cast not in virginia but on the supreme court,” said state sen. robert scott, d-norfolk, referring to the supreme court’s recent decision allowing states more freedom to restrict abortion.",1989-1990,abortion
16,"coleman supported the largely republican pro—life view, while wilder expressed his support for a woman’s right to choose to have an abortion.",1989-1990,abortion
17,"on the subject of tax increases in a coleman administration, bush said, “marshall coleman is one candidate who doesn\'t confuse having a vision for the  future with having a sharp eye on your wallets.”  more than 5,000  bush, however, did not speak on the subject of abortion, which had been a major campaign issue and one which several political analysts have said was the  turning point in the campaign for wilder.",1989-1990,abortion
18,"thomas morris, a political scientist at the universi ty of richmond said, “if abortion wasn’t the number      defeated the wasps last weekend.",1989-1990,abortion
19,"}.\'i7he turkey. .  states should  my view by richard hill  in the oct. 26 issue of the phi, elizabeth parkins and pamela patton respond to j. cameron humphries “my view” against abortion.",1989-1990,abortion
20,"they claim that carneron’s “limited comprehension of medical fact,” his “suspension of reality,” and his “sophomoric tone...have no place in an intelligent discussion on the abortion issue.” well, these ladies’ essay is best described in the terms that rep. henry hyde, a republican from ohio, used to describe the 1988 democratic platform: “a large bowl of cold soggy mush.”  the two ladies seem to believe that roe v. wade is fully intact, and that the freedom of choice (or reproductive choice, as now calls it) is a fully recognized constitutional concept.",1989-1990,abortion
21,"certainly elizabeth and pamela would agree that it is wrong to kill a one day old baby (who, incidentally, carmot survive without help from the mother), and they would most certainly agree that laws should make it illegal to do so; yet, they totally disregard the rights of the fetus and consider “a woman\'s freedom to voluntarily choose an abortion"" as the ultimate right and the ultimate consideration.",1989-1990,abortion
22,so killing a fetus is the  sugkf/i l m/‘iii b1ll°$  say no to abortion?,1989-1990,abortion
23,"as abortion is murder, carneron’s comparison of the lives of fetuses to the victim of wars is appropriate, but minuscule.",1989-1990,abortion
24,"it is murder in every sense of the word, and because murder is a crime at the state level abortion should be as well.",1989-1990,abortion
25,it is reasonable to make abortion against the law in all cases.,1989-1990,abortion
26,"in a recent debate on abortion, one of the debaters said that for someone to say that they are against abortion is to say that they know  more about the issue than the nine  9  4 i  top justices in this country at the time of the roe v. wade decisi .  . well, sorry to say it, but roe v.  y  wade is almost dead, and to rely at it any more as a justification is no longer credible.",1989-1990,abortion
27,to imply that all people whp are anti-abortion or pro-life agree with joseph schneider is the saint  as saying that all republicans agree  with lowell weicker.,1989-1990,abortion
28,"to further imply that all people who are against abortion are also against birth-control is outrageous, consider‘ing that i am in ""favor of most forms of birth control and think it is rather silly to be both anti-abortioii and anti-birth control.",1989-1990,abortion
29,"the states wilf soon have to make the ultimate decision on abortion, and i hope that they all decide to outlaw all aborsy tions, for the sake of humanity and for the sake of the “children” of’ the future.",1989-1990,abortion
30,guest speakers at the rally restressed what they consider the importance of the abortion issue in state-elections as a result of the supreme court’s decision in webster v. reproductive health services.,1989-1990,abortion
31,"the rlng-tum phl, november 16, 1989  legal abortion: its safe and...  my view by pamela h. simpson  this is in response to richard hill\'s “my view"" article in the nov. 9 issue (“states should say no to abortion”).",1989-1990,abortion
32,"since richard has stated so clearly the anti-abortion argument, i feel the necessity to more fully state the pro—choice position.",1989-1990,abortion
33,"he is right in contending that the supreme court has recently reversed the trend of 16 years of legal decisions and seems bent on giving states greater authority to restrict access to abortion.  . while i disagree with his analysis of roe v. wade  (it was not a “mishap of legal history,” it was  an assertion of the constitutional right to privacy), 0  it is nevertheless clear that in the future the debate over abortion will be taken‘ up at the state level.",1989-1990,abortion
34,the basic difference between the anti-abortion and the pro-choice positions is summarized in richard\'s logical syllogism: (1) a fetus is a human being.,1989-1990,abortion
35,"(3) the states outlaw murder; therefore, the states should outlaw all abortions.",1989-1990,abortion
36,"richard may believe that, but there  let’s consider who is being murdered if abortion becomes unattainable.",1989-1990,abortion
37,"by contrast, the rate now with safe, legal abortion is only three per 1,000. legal abortion saves lives.",1989-1990,abortion
