"Call Inter—Campus programs 1800-327-6013     St. Patrick’s Catholic Church  Pro-Life Film “THE SILENT SCREAM""  About fetal development and abortion                 Thursday, Oct. 5 8 p.m. in the Church Basement  Mass Schedule Sat., Oct. 7, 5:00 p.m.",1989-1990
"The Rlng-tum Phl, October 19, 1989  Abortion: The Final Solution?",1989-1990
"Thus, I now propose that we look to science to solve the question of abortion.",1989-1990
"So trust me, I’ll not talk of a new utopia, just abortion.",1989-1990
Now the answer to abortion is easy.,1989-1990
Should a woman have an abortion?,1989-1990
I must admit that this idea of using science to solve the question of abortion is not entirely original.,1989-1990
"First,  no longer does the question of abortion plague us.",1989-1990
"Abortion clinics across America have been fascinated, if not frustrated, by its deceptive tactics for rs.",1989-1990
"In the United States alone, legal abortions have claimed more lives than Adolf Hitler, Joseph  Stalin, the rest of World War It, all of World War I, and the war before that one, and so on, and so on, etc.",1989-1990
"Pro-choice: protecting women’s rights  MY VIEW  By Elizabeth Parkins and Pamela Patton  “I think contraception is disgusting — people using each other for pleasure.” — Joseph Schneider, Director, Pro-Life Action League  I. Cameron Humphries’ extremely murky “My View,” with its limited comprehension of medical fact (classifying the fetus as an organ, and falsely clairriing that it struggles against abortion), its suspension of reality(mankind conquering death and achieving immortality) and its highly sophomoric tone, have no  place in an intelligent discussion of the abortion issue.",1989-1990
"Furthermore, by comparing a woman’s right to abortion to Hitler’s “Final Solution,”Humphries is confusing a woman’s freedom to voluntarily choose an abortion with a totalitarian state’s forced genocide.",1989-1990
"We must assume so, since he does assert that the fetus struggles for life against an abortion.",1989-1990
"The New York Times answered the film\'s charges way back in March of 1985 by featuring five medical experts who discounted the theory that a l2—week—old fetus(91 percent of all abortions are performed within the first trimester) has sufficient nervous system development for any degree of consciousness, much less the ability to sense danger and react to It.",1989-1990
We strongly support Mr. Humphries’ right to his anti-abortion stand.,1989-1990
"We urge him to help pregnant women who chose not to terminate their pregnancies by supporting pre-natal care for those who cannot afford it, adoption agencies,  foster care systetns, day care services and other vital sociali programs  But if his zeal would lead him to block the doors of medical clinics or endorses legislation barring abortions, his opinions would come into conﬂict with our rights.",1989-1990
"But, if abortion is made illegal, and women are forced into unsafe, “back-alley” clinics, or are forced by the state to bear unwanted children, we will find that, to once more quote Humphries, “millions of souls are crying for justice, if we don’t answer them, who will?""",1989-1990
Many voters believe that this election hinged on each candidate’s abortion stance.,1989-1990
"“The five votes that counted the most in this election were cast not in Virginia but on the Supreme Court,” said state Sen. Robert Scott, D-Norfolk, referring to the Supreme Court’s recent decision allowing states more freedom to restrict abortion.",1989-1990
"Coleman supported the largely Republican pro—life view, while Wilder expressed his support for a woman’s right to choose to have an abortion.",1989-1990
"On the subject of tax increases in a Coleman administration, Bush said, “Marshall Coleman is one candidate who doesn\'t confuse having a vision for the  future with having a sharp eye on your wallets.”  more than 5,000  Bush, however, did not speak on the subject of abortion, which had been a major campaign issue and one which several political analysts have said was the  turning point in the campaign for Wilder.",1989-1990
"Thomas Morris, a political scientist at the Universi ty of Richmond said, “If abortion wasn’t the number      defeated the Wasps last weekend.",1989-1990
"}.\'I7he turkey. .  States should  MY VIEW By Richard Hill  In the Oct. 26 issue of the Phi, Elizabeth Parkins and Pamela Patton respond to J. Cameron Humphries “My View” against abortion.",1989-1990
"They claim that Carneron’s “limited comprehension of medical fact,” his “suspension of reality,” and his “sophomoric tone...have no place in an intelligent discussion on the abortion issue.” Well, these ladies’ essay is best described in the terms that Rep. Henry Hyde, a Republican from Ohio, used to describe the 1988 Democratic Platform: “a large bowl of cold soggy mush.”  The two ladies seem to believe that Roe v. Wade is fully intact, and that the Freedom of Choice (or Reproductive Choice, as NOW calls it) is a fully recognized Constitutional concept.",1989-1990
"Certainly Elizabeth and Pamela would agree that it is wrong to kill a one day old baby (who, incidentally, carmot survive without help from the mother), and they would most certainly agree that laws should make it illegal to do so; yet, they totally disregard the rights of the fetus and consider “a woman\'s freedom to voluntarily choose an abortion"" as the ultimate right and the ultimate consideration.",1989-1990
So killing a fetus is the  sugkf/I L M/‘Iii b1LL°$  say no to abortion?,1989-1990
"As abortion is murder, Carneron’s comparison of the lives of fetuses to the victim of wars is appropriate, but minuscule.",1989-1990
"It is murder in every sense of the word, and because murder is a crime at the state level abortion should be as well.",1989-1990
It is reasonable to make abortion against the law in all cases.,1989-1990
"In a recent debate on abortion, one of the debaters said that for someone to say that they are against abortion is to say that they know  more about the issue than the nine  9  4 I  top justices in this country at the time of the Roe v. Wade decisi .  . Well, sorry to say it, but Roe v.  Y  Wade is almost dead, and to rely at it any more as a justification is no longer credible.",1989-1990
To imply that all people whp are anti-abortion or pro-life agree with Joseph Schneider is the saint  as saying that all republicans agree  with Lowell Weicker.,1989-1990
"To further imply that all people who are against abortion are also against birth-control is outrageous, consider‘ing that I am in ""favor of most forms of birth control and think it is rather silly to be both anti-abortioii and anti-birth control.",1989-1990
"The states wilf soon have to make the ultimate decision on abortion, and I hope that they all decide to outlaw all aborsy tions, for the sake of humanity and for the sake of the “children” of’ the future.",1989-1990
Guest speakers at the rally restressed what they consider the importance of the abortion issue in state-elections as a result of the Supreme Court’s decision in Webster v. Reproductive Health Services.,1989-1990
"The Rlng-tum Phl, November 16, 1989  Legal abortion: its safe and...  MY VIEW By Pamela H. Simpson  This is in response to Richard Hill\'s “My View"" article in the Nov. 9 issue (“States Should Say No To Abortion”).",1989-1990
"Since Richard has stated so clearly the anti-abortion argument, I feel the necessity to more fully state the pro—choice position.",1989-1990
He is right in contending that the Supreme Court has recently reversed the trend of 16 years of legal decisions and seems bent on giving states greater authority to restrict access to abortion.  .,1989-1990
"While I disagree with his analysis of Roe v. Wade  (it was not a “mishap of legal history,” it was  an assertion of the constitutional right to privacy), 0  it is nevertheless clear that in the future the debate over abortion will be taken‘ up at the state level.",1989-1990
The basic difference between the anti-abortion and the pro-choice positions is summarized in Richard\'s logical syllogism: (1) A fetus is a human being.,1989-1990
"(3) The states outlaw murder; therefore, the states should outlaw all abortions.",1989-1990
