"Also Kathleen Anne Morrison, Todd C. Peppers, Katherine Lorraine Richardson, Matthew Clinton Sackett, Kelly Dawn Shiﬂett, Courtney Sirn— moris, Dana Dee Stiles, Frederick Johnson Turpin, Tina Vandersteel and Christopher Hepp Wood.",1989-1990
"The double-album length record covers territory from radio ready hits, such as ‘‘Thieves in the Temple,’ to an odd burlesque of the blues entitled ‘The Question of U.’’ The diversity of sound is enhanced by Prince’s use of several guest singers, including George Clinton, Mavis Staples, and Tevin Campbell.",1990-1991
"Twelve-year-old Tevin Campbell belts out ‘‘Round and  Round”’ as if he has been doing this as long as veteran gospel singer Mavis Staples, who lends her talents  to the song ‘‘Melody Cool.”’  One week point on the record is the song ‘‘We Can Funk’’ with George Clinton.",1990-1991
Atlanta Mayor Andrew Young and Arkansas Governor Bill Clinton spoke at the convention in 1988.,1990-1991
"Clinton Shaw faced John  “‘Jay""’ Sterne today in the runoff for the second-year law EC seat.",1990-1991
"The production is directed by Joseph D. Martinez, Associate Professor of Drama at Washington and Lee, and stars junior Denise Brainard, sophomore Erin Clinton Walsh, sophomore Alana Horrigan and junior Chris Smith.",1990-1991
"picks its plays          page 4  Alum learns to live with HIV infection  page 5        page 6  Candidates for the ‘Big Four’ speak out       \x0cahi |  Page 2 The Ring-tum Phi, February 6, 1992        Che Ring-tum Phi  Founded September 18, 1897  Media marred by Flowers frenzy  This week’s Time magazine claims the mainstream media in America ‘‘reacted with unusual restraint’’ in its coverage of the allegations by Gennifer Flowers that she had a 12year affair with Democratic presidential candidate Bill Clinton.",1991-1992
"A supermarket tabloid called The Star got the fun off to a start, weighing-in recently with a rivetting story about Bill Clinton’s alleged colorful history of extramarital amusements, Outwardly indignant but inwardly grateful, the mainstream press was quick to lap up this gift from its maligned colleague.",1991-1992
"Well, we’ve got Dukakis, Tip O\'Neill, Mario Cuomo and Miss Teen Rockbridge.”  “‘Tsongas’ secretary is more boring than he is.”’  “Hello, this is Edward Blake from the National Enquirer, we have a rumor that Bill Clinton was seen dancing naked on stage at the 1988 Mock Convention, could you confirm or deny that, please?’ — actual phone call, I swear to God.",1991-1992
Hudnall     Texas delegates celebrate for the cameras after MC nominates Bill Clinton.,1991-1992
"Bill Clinton the Democratic presidential nominee Saturday, voters in at least five states Tuesday figured they’d better get on the bandwagon if they wanted to be able to say they  Clinton won MC’s nomination on the first ballot with 809 delegates, four more than he needed to clinch a majority and 246 more than his closest competitor, former Massachusetts Sen. _ ton.",1991-1992
"Due to the on-again, off-again sound system, Tucker’s pronouncement of Clinton as MC’s nominee went something like this: ‘*We a’’ You get the  -roud to --oclaim -ill Cl----te idea.",1991-1992
"""No, I  Photo by Leigh Allen, The Ring-tum Phi  South Dakota State Chairman Taylor Crothers said he had changed his Thursday vote for the roll call, but was informed by MC officials that his Thursday vote would go into the  After the announcement, Clinton’s camDavid Wilhelm, thanked the convention by phone on Clinton’s behalf.",1991-1992
"AcClinton was unable to  Discord     By GREG PATTERSON Phi Staff Reporter  While the Confidential Review Committee’s self-evaluation report, released last week, proposes broad changes in the CRC’s jurisdiction and procedures, its two dissenting opinions raise serious doubts about the     proposal’s validity.",1991-1992
"Phi Beta Kappa names 35  Honorary: English Prof. Edwin D. Craun  Class of 1991 Lisa Kei Frantz Mitchell N. Terrill  Class of 1992 Mary Beth Anstine Wangdali Covar Bacdayan Armando Frank Benincasa Sarah Elizabeth Briggs John Thomas Cox Charles Cannon Edwards Jennifer Lyn Fischer Seamane Suzanne Flanagan Kristin Lee Greenough Charles Harry Haake Cindy Lu DeForest Heffern Jodi Lynn Herring Trevor Paul Hildebrand Elizabeth Whitney Hopkins  James Daniel Light Kevin Dean Morrison Jennifer Diane Noble  David Scott Phillips Carol Elizabeth Steele Heather Alya Turner  Erika Jennifer Volkerding  Class of 1993 Todd Gifford Ammermann Brian Kevin Butcher Andrea Margaret Cardamone Jennifer Marie Carr Evans Greenwood Edwards Ramona Michelle Franks Mary Jo Geyer William Neely Hannah, Jr. Stewart McLendon Long Belinda Robyn McCord Patricia Lee Perdigon        page 5     Marsalis slides into Lexington              pages 6-7     Mock Convention coverage; photos  Men’  stumbles to split page 8  s lacrosse       \x0cPage 2              Che Ring-tum Phi  Founded September 18, 1897  Clinton in ’92?",1991-1992
Does Bill Clinton deserve such undisputed recognition?,1991-1992
Clinton is plagued by all three.,1991-1992
Many say Clinton is a damaged candidate who will be slowly crucified during the general election this fall.,1991-1992
"Clinton has a strong political machine, well-financed and boosted by the schedule of the primaries.",1991-1992
"Despite his background, Clinton is clearly the frontrunner, especially after the Super Tuesday returns.",1991-1992
"In this way, Clinton was an understandable choice for MC.",1991-1992
"Clinton controls only about 780 pledged delegates of the 2,145 needed to win.",1991-1992
Clinton has yet to win a primary not in the South.,1991-1992
"The actor was featured on the front page of Saturday’s Roanoke Times and World-News, but was incorrecty identified as politics professor        Vote changes boost Clinton     v NOMINEE continued from pg.",1991-1992
"Oh yeah, s/he also can\'t write the story, because Dean Howison asked that we not write anything about that        Did Mock Convention\'s nomination of Bill Clinton influence Paul Tsongas decision to quit?",1991-1992
