"weiss, who with martin directed a center for well—beir1g in pennsylvania before coming to lexington, said she was told a store  like paradise would not be successful with the largely conservative student population at washington and lee.",1989-1990
"the spectator is going to come out.”  — paul lagarde  also, goodman said, a secondary concern of the board was that the students who run the spectator would advocate conservative ideology through the magazine.",1989-1990
"he also said the magazine would accept articles from people  spectre  with all political views, although he  admitted the majority of the students on the spectator staff are conservative.",1989-1990
“one thing we\'d always want is a pro-con or conservative-liberal debate.,1989-1990
"but issues may rtot always be conservative or liberal,"" lagarde said.",1989-1990
"on second down, thompson threw a  a conservative four-yard gain.",1989-1990
"unswervingly liberal magazine,  the hill  once an  barnes is a conservative voice at the new republic.",1989-1990
it is true that the upbringing i had was a very all-white  small town conservative american upbringing.,1989-1990
he said that you do not take into account that the resistance to the vietnam war was many—sided and included shy conservatives as well as the zanies.,1989-1990
"a: well, my whole, somewhat conservative feelings about vietnam troubled me at the time and still do.",1989-1990
"w .  because our fall budget was extremely conservative and the books were, watched carefully, the sab has $10,000 more this term than we\'d planned on.""",1989-1990
"i have stood for conservative allocations and structural improvements in the student activities board during this lean fiscal year. . as chairman and co—founder of live drive, i worked with other students to create the program in 1988. since then, live drive has developed into an organization consisting of 108 members and has carried over 3,000 passengers.",1989-1990
"“conservatively speaking, we were about $6,000 to $8,000 under budget,” said john hamilton, fancy dress auditor.",1989-1990
"lake, a senior back in 1990, was then the neo-conservative voice of     my alarmism was nothing more than another irrational revisionist tirade fueled by my sixties permissiveness.",1989-1990
"it’s not just for liberals anymore  i c 0 ‘ on occasion, issues appear that command the attention  and passion of everyone, whether conservative or liberal.",1989-1990
"i must point out that this is far fromatypicalcampusltisoneof the most conservative in america, and proud of it.",1989-1990
this has always been a difficult and sensitive issue for conservatives and liberals alike.,1989-1990
"as a conservative, my deeply seated and fervent love for my country oftentirries forces me into an emotional response to such an issue.",1989-1990
"bargain prices for beating up flag-burners  i could not help but notice in last week\'s edition of your newspaper that mr. hill a self described conservative, interestingly enough — wrote that it is unconstitutional to make illegal the desecration of the united states ﬂag.",1989-1990
this delightful piece of political sophistry has almost shamed me into hiding my conservative tendencies.,1989-1990
"the witty, sophisticated, and sage spectator earns a solid “f.” “extremism in the defense of liberty"" may not be a vice, but conservative hysteria for the sake of sensationalism is not a virtue.",1989-1990
"i hold what many would call a pretty “conservative” line on many issues, but i find myself strangely alienated intellectually from the opinions in the spectator.",1990-1991
conservative — 70 percent of the people on this campus.,1990-1991
"freedman, who has been locked in a blood feud with the review for years, has evidently seen this as an opportunity to gain the upper hand over the conservative magazine.",1990-1991
"if anyone is interested in joining such an organization or getting more information, call andrew tucker at 464-5549 or ben weinstein at 4645586.  spectator editor works on national college paper     by alisann mcgloin staff reporter  editor-in-chief of the washington and lee spectator paul lagarde has been named to the staff of a new national, conservative publication for college students.",1990-1991
"according to the editors of national review magazine, ‘‘campus conservative newspapers are blooming like tulips in holland, the latest being the washington and lee spectator, and, at holy cross, the fenwick review.",1990-1991
"meredith currently works for controversial, conservative sen. jesse helms.",1990-1991
"ifc bans ec hears new bud  rambeau, who the ec told to work with the contact committee to co-sponsor a black history month speaker, also asked the ec to ‘‘recommend that contact look for speakers not according to their political ideology.’” he said that contact speaker james meredith\'s conservative political leaning may have been a factor in contact’s decision to invite meredith. .  contact chairman charles kranich said tuesday that the primary consideration for a speaker is ‘‘what people on the committee feel will be of greatest interest to the student body.’’ he said hosting meredith “has nothing to do with ideology.’’  hatcher said he would pass along rambeau’s message.",1990-1991
"‘the university, through its utility taxes and grants,’’ said skarda, ‘‘more than pays for the services the city provides,’’  the resolution, which contains data from a study skarda said was commissioned by the university treasurer but has not been released, states, ‘‘using the most conservative multipliers, that the university generates at least $18.5 million annually for the city’s economy.",1990-1991
he said that he felt such an approach has exposed some strengths that he may never have recognized had he stuck to a more conservative approach.,1990-1991
"‘*we’re trying to come up with a neutral name; one that doesn’t denote liberal or conservative,’’  jackson said the magazine has a 17-member staff which plans to publish its first issue by the  ni, people in the community, and [members of the] w&l administration have already made contributions.” sweeney said the magazine might also sell advertisements.",1990-1991
people like to yell ‘‘tradition!’’ or ‘‘conservative!’’ whenever someone tries 19 change things.,1990-1991
"what mr. skarda is seeking is a school completely full of what i’m sure he is: rich, conservative, southern preppies who live to drink beer at fraternity houses.",1990-1991
(i usually receive invitations to subscribe to every libertarian or conservative publication that sprouts up.),1990-1991
"today one of my students informed me of the appearance of the profile on me in your article on ‘‘black conservatives.’’ the student was surprised to find me quoted in a john birch society publication, and concerned about your characterization of the termination of my appointment at washington and lee.",1990-1991
"if you know anything about them, call john flippen at 464-5566 or 463-8585.  speaker  (10’2”’x20’)  the politics department and the aclu present bruce kramer, ’66, director of the tennessee aclu, ‘can a conservative find happiness in the aclu.’’ the answer is yes!",1990-1991
"aclu lecture: ""can a conservative find happiness in the i aclu?",1990-1991
"aclu lecture: ""can a conservative find happiness in the ( aclu?",1990-1991
"we are encouraged not just the sheer proliferation of journals, but also the wide range of their political for a school stereotyped as of a solitary, universal and conservative opinion, there are plenty of forums for  individual expression.",1990-1991
"the school has a proud conservative tradition, but equality for gays is not a matter of the political right vs. left, but rather right vs. wrong.",1990-1991
"she enclosed a copy of the spectator so they could judge for themselves if they shared her view that the magazine carried racist, sexist and offensively conservative material.",1990-1991
"i also appreciated the fact that w&l law school is not limited to graduating a particular type of lawyer, such as conservative, money-oriented, or partnership-bound.",1990-1991
"the specfator is a conservative magazine, and for that reason it is controversial, especially among the faculty.",1990-1991
"no one would admit that he doesn’t like the spectator simply because it is conservative, but i believe it’s true.",1990-1991
"so far, the  magazine has been accused of being “blatantly ‘tacist, sexist, and offensively conservative’ without  ‘substantiation (by professors hedquist and simp    for the pc professors, academic freedom is a subjective concept... that is intolerant and uncivil.",1990-1991
"y  in today’s university, if one has a_ liberal opinion, he is open-minded; all conservatives are considered close-minded.",1990-1991
"and so, the ‘‘open minded’’ faculty members continue to write letters 4  and sign petitions and call the conservative students racist, sexist, and intolerant.",1990-1991
there are women that are conservative on this publication’s staff.,1990-1991
"was a mice, conservative student  ‘the students that come in each body,’’ perry said.",1990-1991
even more alarming is that the people who experienced that premature bonding were the same people who needed the most help adjusting to w&l’s conservative atmosphere.,1991-1992
"as a black conservative, i was ostracized by the very people who claimed to value difference because i was, well, different.",1991-1992
"fortunately, i was never subjected to the kind of overt intolerance that many black conservatives endure, but there was always a palpable disdain for me and my views among other minority students.",1991-1992
"one black sophomore, for example, explained to me that ‘‘white people are putting those ideas in your head.’’ another of my peers wrote in the student newspaper that black conservatives must be ‘*neutralized’’ (whatever that means).",1991-1992
"john d. wilson, president of the university  payment policy clarified  to the editor: i am writing to inform members of the uni           stand.’’ it came as no surprise then, when the president of maryland’s black student union refused to work with me and the other black college republican when we wanted to bring conservative black speakers to campus.",1991-1992
his aristocratic back-’ ground and conservative idealogy had little to do with his liberal voting record.,1991-1992
‘‘relevance to world events isn’t a pre-requisite.’’ beverly said the editorial staff is conservative but always tries to stay apolitical.,1991-1992
"howard phillips  to speak tues...  howard phillips, founder and chairman of the conservative caucus, will speak at lee chapel tuesday at 8 p.m.  contact chairman tim gallagher said that phillips will focus on ‘‘a new strategy for conservatives.”  [phillips] hopes to establish a new political party by 1992,’’ contact vicepresident marc short said, ‘‘but he doesn’t expect to have a huge following.’’ short said that by the year 2000, phillips hopes to be a legitimate contender for the presidency.",1991-1992
"the charter drawn up by editors of the traveller and presented to the board called for “‘presenting the varied opinions and ideologies of our community’’ in order to encourage ‘\'‘lively debate and tolerance of others’ views.’’  matt jackson, an editor of the traveller, pointed to the magazine’s ‘‘point counter point’’ section, which presented two opposing views on an issue as evidence that the magazine was ‘‘politically neutral.’’ however, executive committee rep. josh macfarland, an observer at the meeting, said feature articles on       ‘‘the biased media’’ and animal dissection made the traveller look like\'‘the archenemy of the spectator,’’ an independent conservative magazine.",1991-1992
"as the author rightly claims, ‘‘oliver wendell holmes’ aristocratic background and conservative ideology’’ were indeed irrelevant to his abilities as a supreme court justice.",1991-1992
"“we\'ve learned that we\'re not as liberal or conservative as we think,’’ jackson said.",1991-1992
"‘‘you find out that you can’t label people strictly liberal or conservative.”’  jackson added that he, kleine, kowalczuk and eggleston welcome callers and input from the audience.",1991-1992
"everyone is familiar with the old joke that a liberal is a conservative who has been arrested, and a conservative is a liberal who has been mugged.",1991-1992
"‘‘lee is a very conservative, conventional person, while austin is much more wild and unpredictable.",1991-1992
"“the fraying of america,’’ moaned time as it launched a self-proclaimed ‘‘scorching look at political correctness, social breakdown and the culture of complaint.’’ readers more accustomed to time’s customary not-quite-conservative views no doubt were shocked to read gems such as this:  americans are obsessed with the recognition, praise and, when necessary, the manufacture of victims.",1991-1992
"i remain, as i’ve always been, a political and economic hard-line conservative.",1991-1992
"not only are conservatives acting pragmatically, but there seems to be a growing disenchantment with this new populism among free market republicans.",1991-1992
"first, that the majority of students believe that the democrats should adopt more conservative positions.",1991-1992
but the platform ° debate gave students the chance to « support their own conservative views.,1991-1992
"on each of these issues, the — traditionally-republican student body voted overwhelming for the more conservative of their options.",1991-1992
"the platform stated, ““we are opposed to the ease with which guns may be purchased, ...we » support federal control of the purchasing process.”  senior will thomas, a member » of the mc steering committee, pre_ sented the.convention with another, more conservative option, which , eventually was passed 516-353.",1991-1992
i\'d be happy to share my experience and help you talk to people [in state government].’’  through the afternoon session was the irony of a largely conservative student body pretending to be democrats.,1991-1992
"-100% worsted wool tuxedos -tux shirts, jewelry, cummberbund sets, suspenders  102 w. washington st., lexington, va 24450 visa, mastercard, student charge (703) 463-5383              gates that they were being conservative at the wrong time in life.",1991-1992
"a democrat more liberal than he wants to seem, and a republican less conservative than he wants to seem, are leading parties whose differences have narrowed, and whose ranges of politically possible policies are narrow.",1992-1993
"but considering that a hefty $4 trillion will be spent on private consumption this year, it is odd for conservatives to argue that any tax increase congress is apt to impose on individuals will radically reshape the economy.",1992-1993
"this was an example of what the national jourrial’s jonathan ranch calls “demosclerosis"" and conservatives call “reactionary liberalism”——defense of the status quo by everyone with an entitlement.",1992-1993
onthetheorythat“onlynixoncould have gone to china” — the theory that there are some thorny issues only conservatives (or liberals) will be trusted to touch — perhaps it is time for liberalism’s moral vanity to meet reality.,1992-1993
"“maybe the conservative campus is having an effect on me,"" he said.",1992-1993
what signal should a conservative of my stripe send?,1992-1993
the nation always needs a . healthy conservative movernentto resist governrnent’s organic tendency toward aggrandizement and the suffocation of society\'s energies.,1992-1993
i’m not one to try and make waves  in calm seas —lots of times i’d say in  -a conservative \'traditionalist’s’ way —  \'r‘n\'u‘c“h more ‘we could\'b\'e\'doing — why not better share our enthusiasm and encouragement with the team?,1992-1993
"©1992 tribune media services, inc.         _ 9 the ring-tum phl, november 12, 1992  americans \' shrugged in a voting booth    george will washington post writers group ’  washington—a dozen n ovembers ago, at the dawn of a  conservative presidential era, walter mondale, in his grace,  ful concession speech as vice president spoke of the majesty of the people wielding “their staggering power.” only four  .",1992-1993
"students who arehappywith greek life are usually middle class conservatives, the princeton review said.",1992-1993
the guide lists w&l as the 18th most conservative campus in the nation.,1992-1993
"“it’d be hard to be gay on a conservative campus like this,” said one w&l student who wished to remain anonymous.",1992-1993
"conservative ideas, says du pont, are harder to sell than liberal ideas.",1992-1993
"the costs, or risks, of conservative ideas often are irrirnediate and obvious, whereas the benefits may be delayed and indirect.",1992-1993
"for ex ample, a capital gains rate reduction may increase the deficit and make some rich people richer, “but the benefit of a stronger economy arrives on a different train, an unknown track and with an uncertain schedule.”  conservative ideas face marketing difficulties.",1992-1993
"when he was chairman the michigan gop he helped lay the groundwork for the election of an activist conservative governor, john engler.",1992-1993
"— \' . . children slay up until wl-he pﬁces are two to loyal, honest, like19_73—charrnmg, adaptable, creleadership,brave,rash,immldnlglll, symbolically three times more than um, able, trusted, conservative, ativ_e, ambitious, opporturust, grev petuous, warm,.smcere, agwishing lllell.",1992-1993
"he helped forge alliances with conservative “boll weevil”democrats, passing reagan\'s tax cuts and getting a tantalizing taste of power.",1992-1993
"an essential part of the college experience  from the same, privileged, conservative, upperclass upbringing.",1992-1993
"at this point and throughout thelatter part of the decade,the phi becamemore conservative, following the mood of the campus in the  the people behind the phi     editorial page editor  classes during fall tenn to focus on the paper.",1992-1993
f.l.i.n.t —a.l.b chapter#19 sent me aterrorist style threat informing me that they “play for keeps” and that they “will not stop” and that conservatives should  wrote of his fear for the lack of diversity on campus.,1992-1993
"through some close friends of mine in conservative circles, this episode may be publicized in several national magazines.",1992-1993
"however, $400 billion—a sum larger than the federal deﬁcit—is a conservative estimate.",1992-1993
"he had the nerve, which two conservative presidents did not, to tell the american people the facts of ﬁscal life.",1992-1993
"a04, 2204, j’  n/c     --9     7; the ring-tum phi, march 4, 1993  by cameron huddleston phi staff writer  hen asked to describe the typical washington and lee man, both 0 males and females ‘ mentioncharacteristics such as conservative, southern, rich, .",1992-1993
unreconstructed cold warriors and their nco-conservative offspring sketch today\'s russian politics in terms of good guys and bad guys.,1992-1993
"i do not believe that they are conservative, but correct me if i am wrong.",1992-1993
"“the purpose of bringing darryl gates was to  attract a large portion of the school that is ultraconservative to be exposed to the viewpoint of the aclu,” said schneider.",1992-1993
"if it sparks conservative activity, so be it; though i must confess that 1 cannot see how w&l could move any further right without alienating any prospective student left of attila ’ the hun.",1992-1993
".5.-.-\'¥\'>""-:°<~\' a»e.vx~:-nata-:-zen-\' ~\'-swc-:-.-t.\\:-.-:+.¢t»:<-:~i:4<~""‘°‘uc-a:¢m«oc   .-i=3r-:-:-:r-:<r«rz.<\'z\\\'~:=\'-:s\'-:-:t=\'.-:r.vr-:.\'m-:-:-:-1-:-:2::-:«ra-rrzzccz-:-:-:z¢:-3-ta:-:mz~z-:v-\'2=:az ..:-.«.u_e,_ ‘ q     heﬁing-tum phi, may 6, 1993  \' unhappy students examine traditional attitudes  w&l freshmen political leanings 1991  conservative  average  conservative  \\ / the ring-tumplti;;\';..=.",1992-1993
"on last sunday\'s “face the nation,” cultural conservative bill bennett solemnly wamed the president not to try ayd “hide behind” hillary.",1992-1993
"a larger contingent of black students would dispel this myth and demonstrate that blacks can be politically liberal or conservative, culturally oriented or more assimilated.",1993-1994
"it’s not about being politically corﬁ:ct or incorrect, liberal or conservative, it’s about doing the right thing.",1993-1994
"the american civil liberties union,  to the aclu specifically to fund a debate between law professor lani guiner and conservative/libertarian clint bolick.",1993-1994
"when he was pressed recently by a reporter to give a substantive response to any one of these issues, mr. perot told the viewing audience that he had leﬂ his  with such free-market conservatives as noble prize winner milton friedman.",1993-1994
"while mittee, during last c°n591\'v3liv° °tganiz3\' t week’sbudgetdeliberationslike the washington lions, ll 5 ‘ lcall  & lee spectator can surhe first p513.’ off of a policy shown itgeifllgnbe th: viveoomfortably without t0 fund all legitimate student most ideologically par\'  the ec’s patronage, many non-conservative groups could only survive with the ec’s backing.",1993-1994
their decision toshutthefundingvault on amnesty’s face  an extensive alumni support network that is just not available to non-conservative groups.,1993-1994
"if we are to deny funding to groups which have been traditionally thought of as “liberal,” we must also deny funding to traditionally “conservative” groups.",1993-1994
"increasingly, political correctness, which started as an ztademic movement, has become a tool which conservatives use to shove their ideas down everyone  else’s throats. .  what used to be an attack on the limiting of free speech has now turned into an attack on free speech.",1993-1994
conservatives  herself.,1993-1994
"yet, some ultraconservatives use “political incorrectness” as a way to hide behind their racism.",1993-1994
you might find that this campus would be less  monolithically conservative.,1993-1994
he resists the idea of being labeled a liberal or conservative.,1993-1994
»  tend to upset conservatives.,1993-1994
"l:c]sl’lofl pei o clelails “clc]sslc”  lo0l<s  a glance at male and female style, or lack thereof, on the hill  “people dress really conservatively here,” says freshman christi wooldridge.",1993-1994
"“very conservative,” was junior stacy newlin’s opinion of w&l fashion.",1993-1994
girls’ shoes are — no surprise here — largely conservative.,1993-1994
"there are plenty of liberal and non-political professors, but hardly any conservative professors.",1993-1994
"“recycling is not a liberal idea or a conservative idea,” said townley.",1993-1994
but when one of our few women professors says something or acts in away not in line with the general conservative views of the campus she is all but carried off‘?,1993-1994
"they are confirming the suspicions of many their only desire is for a faculty made up of white, conservative, men.",1993-1994
"normally, the excuse we hear for the low number of women and minorities is that they are hard to attract to a conservative cam‘ pus like ours.",1993-1994
naacp president  enjamin chavis and conservative columnist william f. buckley are scheduled to speak.,1993-1994
"in an intriguing twist to north’s announcement, conservatives have been mounting an impressive effort to ensure his defeat in the republican primary.",1993-1994
"w&l class of 1949, railed against north last week, calling him a “criminal” and noting that the only reason his conviction on the charge of “lying to congress” was overturned was because of a “technicality.” additionally, conservativesineditorialsacross the.",1993-1994
