"Williamson, noting that her name is now better known than the govemor’s, knows he must change the contest from a choice between ‘ ‘a 43-year-old white guy and a 44-year-old black woman with a nice smile.”  Sitting in her county building office, smiling serenely, she seems to know what he says he knows: Other things being equal, in a contest today between a man and a woman, 50 percent of voters are indifferent, 10 per mg. Williarnson’s attacks include some GOP golden oldies.",1992-1993
"In 1964 Barry Goldwater pro4 duced a constructive defeat, making the GOP a fighting force for conservatism.",1992-1993
"The GOP is rightly concerned that     PATRICK McDERMorr\'r ’94 I  North’s background and extreme views have the poten tial of severely damaging the credibility of the party as a whole, much like the candidacy of David Duke (former grand wizard in the Ku Klux Klan) for governor of Louisiana.",1993-1994
"In beach, the GOP has taken a well regarded, though hardly exciting, legislator and turned  A nothing compared to that of his col even more astounding than that of Rep. Leach given D’Amato’s history.",1993-1994
of supporting or being aware of the “1% rule.”  This involved government workers being coerced into giving 1% of their salary to the GOP.,1993-1994
GOP had learned     cans who wanted the president to  can members of the Con \'.,1993-1994
"If the members of the GOP think the american people can’t recognize partisanship when they see it, they are sorely mistaken.",1993-1994
"Former Joint Chiefs chairman and potential GOP presidential nominee Gemeral Colin Powell has said, “Based on my work experience with him [North], and my knowledge, Colonel North is  not someone I would sup rt or vote for.",1994-1995
He told them to expect a different relationship with the United States following the GOP tidal wave.,1994-1995
"The legislation promises, according to the GOP, an end  to the privileged status of congressional members.",1994-1995
"the season because of a clause in  his contract that allowed him to pursue a buyout if the GOP ever  regained control of both houses, John Travolta got an Oscar nomination, Weber State made the NCAA Tournament, Oil Can Boyd ever played baseball again, and a woman was elected president of W&L’s Student Conduct Committee.",1994-1995
GOP Watch is compiled by Alex Christensen  C-School now named for benefactor ilims.,1995-1996
"Get ready for Mock Con: See page 2 for GOP Watch  Topping this list was Harvard, Princeton, Yale, and Stanford.",1995-1996
Wilson remains in single digits in most national polls of GOP presidential primary voters.,1995-1996
GOP Watch is compiled by Alex Christensen  fever  well.,1995-1996
GOP WATCH     Parties clash over Medicaid and Medicare budget cuts  In recent weeks GOP activity foreshadowed the controversy over what will undoubtedly be one of the most complex issues of the 1996 campaign.,1995-1996
"However, the proposed cuts are a continued cause for concern among those who had hoped for less stringent attacks from the GOP leaders on foreign affairs budgets.",1995-1996
"Beyond the Blue Ridge and GOP Watch are compiled by Peggy Stuntz and Laura Knapp  The \'n Ph° tember 22 1995     W&L leads its students to the Information Superhighway  By ALEX CHRISTENSEN Phi staff writer  “The Information Superhighway”—the high-tech future of information in a global age, or just another media—generated catch-phrase designed to make anybody without an e-mail address feel hopelessly behind the times?",1995-1996
"Although many say BY ETHAN KRUPP one of wilhams’ most notable investments that Perot himself lacks the popularity to run again in I996, any third party Phi Staff Writer was in 1977 when he purchased as many shares candidate withthe backing of Perot’s supporters could poseaseriousthreat of Berkshire Hathaway as he could find for to the GOP’s candidate.",1995-1996
"only through his gigta, but thagiaiaglh The new agency will be most visible during major events Although Williamsmade hisfortunethrougah hiSii_m6,i3l6iitS,8iid energy, S81 0i’m€T _ \' h \' dd\'t‘ l ff t \' re the streets of Lexinginvestments and sales, he never took any poli— president John D. Wilson to the W&L Alumni Beyond the Blue Watch GOP Watch are ioiifrerggfilgiiz S()lUlI?Cll1.aAoS f1(fl\'eirl?e(l)(’.ll\'[l)::lty of Roanoke’s agents tics, commerce or economics courses while he Magazine.",1995-1996
"Gramm, however, contends that his willingness to bring the issue onto the ﬂoor will play a major role in the GOP’s choice of a presidential nominee.",1995-1996
"GOP Watch is compiled by Peggy Stuntz and Laura Knapp      The Ring-tum Phi, October 6, 1995  Simpson verdict   captivates campus  BY DAN ODENWALD Phi Executive Editor  Where were you when the O.J.",1995-1996
"Beyond the Blue Ridge and GOP Watch are compiled by Peggy Stuntz and Laura Knapp  A   Mock Con gets $10,000 grant  BY EMrr.Y BAKER Phi Executive Editor  The 1996 Mock Convention received a $10,000 grant from the Ethics and Excellence in Journalism Foundation, an Oklahoma City foundation.",1995-1996
"Beyond the Blue Ridge and GOP Watch are compiled by Peggy Stuntz and Laura Knapp  Phi Eta Sigma to hold induction  Bv RYAN BEAMAN Phi Staff Writer  The Washington and Lee Chapter of Phi Eta Sigma, a National Honor Society for freshmen, will induct 56 students this Friday at 3:30 p.m. in Northen Auditorium.",1995-1996
"While it is true that the GOP will continue to have problems with building solid majorities until it ﬁgures out how to dredge its metaphorical pond of this very real scum, it is also true that the significant battles of governance will take place on a GOP battlefield.",1995-1996
"aw 5° °° P 395""“ Y t 9 *5 Editor s Note: GOP Watch is a special I 1.",1995-1996
"q P    S   e d Des Moines, lA—Senate Majority Leader and leading GOP PresidenTwo, there is a profound absence of privacy.",1995-1996
"says he has learned a great lesson in politics. .  GOP Watch is compiled by Peggy Stuntz and Laura Knapp  Currently, VMI believes they odds are against them.",1995-1996
"The Ring-tum Phi  Post Office Box 899 Lexington, Virginia 24450 Telephone (540)462-4059  Fax (540) 462-4060  E-mail phi@wIu.edu  GOP Congress must protect environment  NOVA CLARKE, ’96  Let ’s talk about money.",1995-1996
"After the holidays, Mock Con will practice with different political scenarios to help direct them in successfully choosing the GOP nominee in March.",1995-1996
"William Kristol, editor of The Standard and prominent GOP strategist, will speak on the media and the presidential race.",1995-1996
"Merrill’s endorsement gives a “major boost to the GOP front-runner in the first primary state.”  GOP Watch is compiled by Peggy Stuntz and Laura Knapp  N  The Ring-tum Phi, November 10, 1995  Alum puts W&L sports on film  BY EMILY BAKER Phi Executive Editor  While many in the Washington and Lee class of 1995 are still looking for jobs, 23-year-old Keith Grant already has a book and a movie deal lined up.",1995-1996
"Recognizing this, GOP leaders now plan to attach the amendment to the upcoming bill to keep the government in operation and raise the nation’s debt limittemporarily,which mustbepassed by approximately Nov. 13, to avoid the first default on government debts in history.",1995-1996
"ofprotectzonsforfreesociation of Re Indiana Rep‘ tired Persons r e s e n t a t i v e dam of consclence° (AARP) receives David M. Mclnmillions every tosh, one of the year from the tax 73 House GOP freshmen, states the case for the Istook amendment this way: “All we are asking is that these groups make a choice.",1995-1996
