This Yankee liberal hopes to be hearin’ from y\'all in the next Phi.,1989-1990
"Get a job  CHALLENGE, a liberal—arts cavreer fair, will be held on Thursday, Oct. 26 at the Student Activities Pavilion.",1989-1990
"of U.S. senators or representatives, app lcllllolls wl asseisse {ha or as mg on Also seniors lahning lo allond The Washington Term Program or they work in the White House, $25.llll°’ illel facully\'ndA 50’ ‘E llellls‘ ilia \'Cl_lAl_LE§lGE liberal arts _ F provides Washington and Lee according to Ingrid Schroeder.",1989-1990
Beth Anne Tysdale Randolph-Macon Woman’s College Escort: Lee Grable Kappa Alpha Comment “I strongly support the liberal arts schools in Virginia and speciﬁcally W&L.,1989-1990
"If there is any point in having such a committee at a liberal arts school, then it seems logical that such a committee would promote the same kind of atmosphere that is conducive to a liberal arts education an education which, under ideal circurnstances, promotes an open exchange of ideas for the benefit of none other than those who have the courage to exchange them.",1989-1990
"In the U.S. News ranking of “National Liberal-Arts Colleges,” Washington and Lee placed 18th out of the top 25 schools.",1989-1990
"In its category of “National Liberal Arts Colleges,” W&L finished as the overall best buy.",1989-1990
"I / / , / /  i‘ V I;  LIBERAL Houseuow E .. ’ /~:._.",1989-1990
"(I honestly think that our school can afford a new system and owes it to its students, especially since we were ranked as the number one best buy in a liberal arts education in the Oct. 16 issue of U.S. News and World Report.)",1989-1990
"“There was a very good range of companies represented, from the highly technical ones to the more general types of companies, and they were all interested in liberal arts students,” said Henneman.",1989-1990
"A Even many respected liberal legal scholars,  while agreeing with the decision, think that the legal reasoning is poor.",1989-1990
"According to Charles Bracelen Flood, author of Lee.‘ The Last Years, a group of Swiss liberals decided to commission a painting to celebrate the Union victory in the Civil War.",1989-1990
Consider the following quote: “I just don’t find people masturbating very artistic at all.” Does this reflect the thinking of a student of a fine liberal-arts institution?,1989-1990
"A  . Q: On Page 65 of Self-Consciousness you said, ""Nevertheless, however liberal my views, I had no dealings with blacks either as equals or as ‘ servants and was shy and nervous about them.",1989-1990
"Also, I hope I’m a sufficiently good American , and a good liberal not to be... Who knows what I really felt?",1989-1990
I was trying to describe my own feelings and my own reaction and using my reaction which wasn\'t a straight-down-the-line liberal reaction as an index for my own political character.,1989-1990
"Perhaps my most memorable "" visit, the visit to Washington and Lee aside, was a trip to small, northeastern liberal arts school.",1989-1990
"""Their program of study must be liberal arts oriented.""",1989-1990
"There are currently about 240 chapters at liberal arts and humanities oriented colleges and universities all over the country, said Goehring.",1989-1990
"“Almost all applicants mentioned course load as a  honor code, the role of Washington and Lee in training community leaders, appreciating the character of the student body and molding that character to the aims of liberal education.""",1989-1990
"“Sports are critical to a liberal education,” said Howison.",1989-1990
The former encourages liberal spending; the latter results in frustrated decorations chairmen.,1989-1990
Daisy’s liberal sexual attitude is appropriately symbolized by a green light at the end of Gatsby’s dock  LETTERS  sororities.,1989-1990
This study is in no way a liberal crusade to wipe out sororities and fraternities on this  Once  attention.,1989-1990
It is better to have a strong regime in power than a liberal government if it is indulgent and relaxed and penetrated by the Communists.”  The Latin American people themselves could have democracy only if they chose their leaders from within the pool of candidates acceptable to the United States.,1989-1990
"They’re just gonna have to suck it up.”  In October, W&L was named a “best buy"" in liberal arts colleges by U.S. News and World Report.",1989-1990
"l\'—‘R£5H A2/V R‘/51/,     D     Looking back as a liberal  MY VOO DOO By Robert J. de Maria  Modern economic historians have recorded a crazy-quilt pattern of mergers, take—overs and other ﬁscal shenanigans that would have made the lateeighties bad-boy Ivan Boesky puff up with pride.",1989-1990
Other problems with the new majors include protests by stubborn liberal females.,1989-1990
"At this time a young leader, whose distinguishing characteristic  ~was not a spot on his head, but his shortness in height, was all the rave among the liberals in Europe.",1989-1990
"That liberal among liberals, Ludwig van  The Ring-tum Phl, May 10, 1990  H0 w/lam $5/an/5 R£ALLY weeks   ‘""1              Beethoven, even composed a symphony in his honor.",1989-1990
Yet he did not remain in the liberals‘ favor for long.,1989-1990
"Though he did codify laws and remove hundreds of tiny monarchies, he did very little to spread liberalism throughout Europe.",1989-1990
