"eben, 23, had been in and out of several mental hospitals and was at one time diageben had violently attacked his father before, including one incident involving either an ax or a hatchet,  eben was recently released from a connecticut psychiatric institution, and police believe the murders were a further manifescontinuing psychiatric  the police were alerted to the murders by a note that eben had left on the door of his father\'s law office in stamford.’ note was written by eben, although it was signed “robert,” who was the mcdowells\'  washington and lee students learn about their school\'s chapter of college republicans during the student activi the     da mdowe  p.m.  uat  in the note, eben warned the police that he was armed, and ended the note with the words, ""this is not a joke.""",1989-1990
"l. douglas wilder, the democratic candidate, claiming victory over republican j. marshall coleman by less than 8,000 votes.",1989-1990
"college republicans vice chairman thomas brubaker did not share wilks’ enthusiasm for wilder’s success, but was also unwilling to predict a coleman victory.",1989-1990
incumbent democrat mary sue terry won another term as attorney general by defeating republican joseph b. benedetti.,1989-1990
"claims victory; recount likely  in the race for the 24th district seat in the virginia house of delegates, republican del.",1989-1990
"he said ﬂags in general have  during the republican national avoid instigating a constitutional a familiar role in symbolic expresconvention in 1984. demonstrators amendment to change the first sion; however, venerated monuments charged through the streets of dallas amendment.""",1989-1990
"instead of repeating the same old pro-choice argument, wilder brilliantly turned the tables on the republicans.",1989-1990
"ronald reagan began an entire political revolution with the simple statement: “let’s get the government off the backs of the people.” but, as wilder has pointed out, it is in fact the current policy of many republicans to allow the government to intervene — a stigma usually reserved for democrats.",1989-1990
"for now however, the ball is in the republicans’ court.",1989-1990
"the ring-tum phi post office box 899 lexington, virginia 24450  independents thank donors for turkeys  the independent union would like to thank the washington and lee university administration, faculty, dorm counselors, resident assistants, college republicans, minority student association, brothers of chi psi, pi kappa alpha, pi kappa phi, and sigma nu, sisters of chi omega, and kappa alpha theta, residents of gaines hall, and freshmen for their donations to the “two for turkey” food drive.",1989-1990
"the war plays an important role in the movie, but, unlike “platoon,” kovic’s war is not only fought on the battle ﬁeld, but in a veteran’s hospital, the home, and, ultimately, at the 1972 republican national convention.",1989-1990
"time magazine calls o\'rourke “one of the funniest writers in america, or anywhere else.” he is the author of four books — modern manners, the bachelor home campanion, republican party reptile and holidays in hell, which was published last october.",1989-1990
ms. spreng is well aware that kissinger is a republican crony).,1989-1990
"who, for instance, would ever have guessed that the ring tum phi would ask me to write for them, or that a republican, god-fearing president could be soft on a communist.",1989-1990
"the organizations that are scheduled to move into these offices are alpha phi omega, contact, the independent union, and the college republicans.",1990-1991
warmer was elected to the u.s. senate in 1978 and reelected to a second term in 1984. he is the rank ing republican on the armed services committee and a member of the select committee on intelligence.,1990-1991
"by jason kelley senior copy editor     democrats want to re-draw virginia house of delegate district lines in rockbridge county and republicans are crying ‘‘gerrymander.”’  the newly formed committee for redistricting, made up of local democratic party members, asked lexington city council to endorse a plan that would unite rockbridge, bath and allegheny counties into a single voting district.",1990-1991
"with this plan we would be able to speak as a solid county,’’ said george warren, vice-chairman of the lexington democratic committee,  local republican groups vehemently oppose the plan.",1990-1991
"“tt appears (the democrats) cannot defeat (republican) delegate vance wilkins fairly through an election, so they want to defeat him through an unfair gerrymander,’’ said lexington-rockbridge republican committee chairman, and washington and lee administration professor,  roger dean.",1990-1991
"republican john w. warner is seeking re-election to the senate, while democrat james r. ‘“‘jim’’ olin is running for re-election to the house of representatives.",1990-1991
"warner is the ranking republican on the armed services committee and a member of the aging, intelligence, environment and  public works committees.",1990-1991
"virginia voters  ocrat, does not face republican opposition.",1990-1991
"the tally of democrats versus republicans in the house is now 267-167-1, the ‘‘1’’ is bernard sanders, a socialist, who capitalized on the issue of increased taxes to beat out incumbent pete smith, a republican, in vermont.",1990-1991
"“‘t was amazed at doug’s cynicism — and mary sue managed to top him before lunch,’’ said republican party official steve hamer.",1990-1991
"from w&l in 1953. in 1962, he became the first republican in more than 40 years to be elected to congress from tennessee’s third district.",1990-1991
"after four terms in the house of representatives, brock was elected to the u.s.            interviews and photos by amanda hughen  senate in 1970.  in 1977, the republican party elected brock as its national chairman, a position he held through president reagan’s inauguration.",1990-1991
"i intended no harm, because i have great respect for the intelligence of most of its staff members, but i wanted to point out a major flaw, which was the spectator\'s policy of  taking potshots at anyone or anything that did not suit the writer’s concept of what was right (i.e., white, anglosaxon, christian and republican).",1990-1991
"connelly received the grant for his research on ‘‘the permanent minority status of the house republicans.’  jenks award  timothy g. mcmahon, a 1987 magna cum laude graduate of washington and lee university, has been named the first recipient of the william a. jenks award in european history.",1991-1992
republicans  the college republicans will meet on nov. 7 at 8 p.m. in room 221 of the commerce school.,1991-1992
"their opponents, first-year law students tom kleine and chris kowalczuk, represent the views of the republican party.",1991-1992
