"Some poor, homeless man, wasting his welfare money to shoot up heroin with a dirty needle?",1989-1990
"To qualify for the perrriit, houses will have to meet public health, safety and welfare requirements under a standard Building Ofﬁcials & Code Administrators regulation.",1989-1990
"But when you consider how important Rush is, and the fact that you should be concentrating on the welfare of your sorority and the rushees and not on your own social concerns, is one night so important?",1989-1990
"Jordan said the buying up of the residences on Diamond, Randolph and Massie Streets has forced many low—income families to move to Willow Springs, where they are now on welfare because of excess travel expenses between Lexington and Willow Springs.",1989-1990
"Though the dorm counselors delivered a wide—range of explanation from merely “I’m just real sorry” to the more noble goal of allowing freshman to clear their guilty consciences, the real motive had absolutely nothing to do with the welfare of the freshman class.",1989-1990
"The economic welfare of local businesses is certainly tied to the welfare of the city budget in terms of the city’s tax base, and re-election odds for city officials.",1990-1991
77.7 percent believed that blacks were more likely to be on welfare.,1990-1991
"Clark, who often refers to himself as a ‘‘poor black welfare child who made good,’’ seemed pleased with himself and the rewards that he has received from his American success story.",1990-1991
"In 1988, Arias used the money from his Nobel Prize to create the Arias Foundation for Peace and Human Progress, which promotes the welfare of the needy in society.",1991-1992
"Accompanying this economic policy, he continued, were failed attempts at reform, the destruction of the welfare system, the abandoning of American cities and the Supreme Court’s intrusion into personal liberties.",1991-1992
"The professors have been so vigilant over my ethical welfare (dare I say, in this agnostic, cynical age, my spirit?",1991-1992
"Individuality is irrelevant  My VIEw     By Brian Carpenter     Hostility to the welfare state, belief in laissezfaire capitalism, or the attitude that government is  the problem, are a few of the basic tenets of the »  Republican party.",1991-1992
"He says she has voted 11 times to raise taxes and to raise welfare and her pay, and voted against the death penalty and against reciting the Pledge of Allegiance in schools, and was a 1988 Jesse Jackson delegate.",1992-1993
"Whatever the reason, the welfare of the individual freshman men is being stearnrolled.",1992-1993
"But it seems that if fraternities would take a little responsibility for their futures and the welfare of their members-to-be, there wouldn’t be any need for a change at all.",1992-1993
"Instead, I would like to demonstrate my generous attitude toward the welfare of feminist ideas, particularly tmse of the sophomores, in examining the trulychauvinistic spirit of this weekend which we are all going to cel ebrate.",1992-1993
He proposed instituting a voucher system to allow Americans to “shop for their health care” and thus become “health care consumers.”  Goodlatte also said he favored welfare reform and was against cuts in social security.,1992-1993
"For America’s welfare state, demography is destiny.",1992-1993
"In an all-out appeal to Bush-weary Republicans and sometime Perotistas,  Clinton now steers a starboard course on every high-fever issue from deﬁcit spending to welfare cheating and street crime.",1992-1993
"‘ ‘I\'liere’s a new Democratic Party, ’ ’  he declared to Colorado and Wyoming audiences, ‘ ‘and anew Democratic candidate.’ ’ One who backs the gas chamber for killers, bad times for welfare chiselers, and jail for young, first-time criminals.",1992-1993
The paramount issue is how to restore sustained ecoyouths d0 cientto generate jolgs and the revenues equired for a welfare state serving an aging population.,1992-1993
"All the while that the government is gripped with these problems, all of America must look around and say that a welfare state, which was supposed to be ameliorative, may have adverse consequences.",1992-1993
"We’re talking out the men and women who feel, sometimes, like chumps for being honest when the big shots, the inside traders, the sleazy lawyers, the welfare cheats, the deadbeat dads chuckle at them for being so honest.",1992-1993
"The truth is, only those making under $20,000 are compensated for the gasoline and other fuel tax hikes by the new, offsetting hikes in welfare payments Clinton is proposing.",1992-1993
"hero of his party\'s moderates and conservatives, chairman of its right-leaning Democratic Leadership He earned his spurs attacking welfare cheats, deadbeat dads, supporting capital punishment  Having won election, Clinton shifts directigi, pushing a program of substantial new govemment-\' spending, championing a social welfare agenda not seen since the days of Lyndon B. Johnson.",1992-1993
"Norplant has been embroiled eQe— where in controversial welfare and criminal justice policies, raising questions of morally or legally dubious coercion.",1992-1993
There have been proposals for monetary incentives or sanctions for unmarried welfare mothers to agree to implants.,1992-1993
America’s majestic economic abundance has come not just from free markets alone but from a combination of enterprises: free markets together with ac powerful network of social welfare.,1992-1993
"We have Social Security for retired people, welfare for the disabled and others who cannot fend for themselves in a capitalist  system.",1992-1993
"He addressed the domestic issues of crime legislation, welfare reform and health care, as well as his hopes for dealing with other nations in the future.",1993-1994
